Notifying Member,Distribution date,Document symbol,Title,Description,Products covered,ICS code(s),Objectives,Keywords,Specific regions or countries likely to be affected,Final date for comments,Notification type,HS code(s),示例,,,,,
China,27/03/2009, G/TBT/N/CHN/578,"National Standard of the P.R.C., The Minimum Allowable Values and Target Values of Recyclability Rate for Products Part 1: Room Air Conditioners and Household Refrigerators（23 pages, in Chinese）","This standard specifies the minimum allowable values and target values of recyclability rate for room air conditioners and household refrigerators.       ;
This standard applies to room air conditioners and household refrigerators, including  components relating to using of room conditioners and household refrigerators，excluding package of these products.. ;
","Room air conditioners and household refrigerators  ;
ICS: 13.020.01 ;
",13.020.01 - Environment and environmental protection in general,,,,26/05/2009,Regular notification,,,,,,,
China,27/03/2009, G/TBT/N/CHN/581,"National Standard of the P.R.C., Tyre Valves-Part 7: Components (19 pages, in Chinese)","This standard specifies the terms and definitions, type numbers and signs, types, structure dimensions and materials, appearance, ozone resistance, hex nut assembly torque, sealing of valve cap, test methods, inspection rules, marks, packing and storage for tyre valves components.","Tyre valves components          ;
ICS: 83.160.01 ;
",83 - RUBBER AND PLASTIC INDUSTRIES; 83.160.01 - Tyres in general,Other (TBT),,,26/05/2009,Regular notification,,,,,,,
China,27/03/2009, G/TBT/N/CHN/585,"National Standard of the P.R.C., External Projections of Passenger Car (","This standard specifies the general requirements, special requirements and test methods for external projections of M1-type passenger car.","Bodies and body components of passenger cars ;
 ICS: 43.040.60                        HS: 8707，8708 ;
",43.040.60 - Bodies and body components,,,,26/05/2009,Regular notification,"8707 - Bodies, incl. cabs, for tractors, motor vehicles for the transport of ten or more persons, motor cars and other motor vehicles principally designed for the transport of persons, motor vehicles for the transport of goods and special purpose motor vehicles of heading 8701 to 8705; 8708 - Parts and accessories for tractors, motor vehicles for the transport of ten or more persons, motor cars and other motor vehicles principally designed for the transport of persons, motor vehicles for the transport of goods and special purpose motor vehicles of heading 8701 to 8705, n.e.s.",,,,,,
China,27/03/2009, G/TBT/N/CHN/579,"National Standard of the P.R.C., Secondary Edge Silicone Sealants for Structurally Glazed Insulating Glass Units","This standard specifies the technical requirements, test methods, inspection rules etc. of secondary edge silicone sealants for structurally glazed insulating glass units.","Secondary edge silicone sealants for structurally glazed insulating glass units ;
ICS: 91.100.50 ;
",91 - CONSTRUCTION MATERIALS AND BUILDING; 91.100.50 - Binders. Sealing materials,Protection of human health or safety (TBT); Other (TBT),,,26/05/2009,Regular notification,,,,,,,
China,27/03/2009, G/TBT/N/CHN/577,"National Standard of the P.R.C., The Minimum Allowable Values of Energy Efficiency and Energy Efficiency Grades of Industrial Boilers","This standard specifies the basic requiremnts, minimum allowable value of energy efficiency, evaluating value of energy conservation, energy efficiency grades, and test method for industrial boilers. ;
This standard applies to stationary steel steam boilers using water as a medium, with rated steam pressure greater than 0.04MPa, but less than 3.8MPa and evaporation capacity  no less than 0.1t/h, as well as to stationary steel water heaters with rated water output pressure greater than 0.1MPa, both of which use coal, oil or gas as their fuels.  ;
","Industrial boilers  ;
ICS: 27.060　                  HS：8402, 8403 ;
",27.060 - Burners. Boilers,Protection of the environment (TBT); Other (TBT),,,26/05/2009,Regular notification,"8403 - Central heating boilers, non-electric; parts thereof (excl. vapour generating boilers and super-heated water boilers of heading 8402); 8402 - Steam or other vapour generating boilers (excl. central heating hot water boilers capable also of producing low pressure steam); super-heated water boilers; parts thereof",,,,,,
China,27/03/2009, G/TBT/N/CHN/571,"National Standard of the P.R.C., General Requirement for the Labelling of Flavorings (7 pages, in Chinese)",This standard specifies the requirements for the labelling of flavorings and the contents that should be marked,"Flavorings ;
ICS:71.100.60 ;
",71 - CHEMICAL TECHNOLOGY; 71.100.60 - Essential oils,Protection of human health or safety (TBT),Labelling,,26/05/2009,Regular notification,,,,,,,
China,27/03/2009, G/TBT/N/CHN/582,"National Standard of the P.R.C., The Safety Technique Specifications of Special School Bus for Schoolchildren( 17 pages, in Chinese)",This standard specifies the safety requirements of special school bus for schoolchildren.,"Special school bus for schoolchildren. ;
 ICS: 43.160                     HS: 8702 ;
",43.160 - Special purpose vehicles,Protection of human health or safety (TBT),,,26/05/2009,Regular notification,"8702 - Motor vehicles for the transport of >= 10 persons, incl. driver",,,,,,
China,27/03/2009, G/TBT/N/CHN/592,"National Standard of the P.R.C., Limitation of Mercury Content for Zinc Silver Oxide，Zinc Oxygen and Zinc Manganese Dioxide Button Batteries","This standard specifies the restriction requirements, test methods, compliance determination rules and marks of mercury content for zinc silver oxide, zinc oxygen, zinc manganese dioxide button batteries. ;
This standard is applicable to zinc silver oxide，zinc oxygen and zinc manganese dioxide button batteries. ;
","): Zinc silver oxide, zinc  oxygen and zinc manganese dioxide button batteries ;
ICS: 29.220.10                    HS：8506 ;
",29.220.10 - Primary cells and batteries,Protection of human health or safety (TBT); Protection of the environment (TBT),,,26/05/2009,Regular notification,"8506 - Primary cells and primary batteries, electrical; parts thereof (excl. spent)",,,,,,
China,27/03/2009, G/TBT/N/CHN/583,"National Standard of the P.R.C., The Strength of Seats and Their Anchorages of Special School Bus for Schoolchildren",This standard specifies the safety requirements for seats and their anchorages of special school bus for schoolchildren,"Seats and their anchorages of special school bus for schoolchildren (ICS: 43.040.60; HS: 8708) ;
",43.040.60 - Bodies and body components,Protection of human health or safety (TBT),,,26/05/2009,Regular notification,"8708 - Parts and accessories for tractors, motor vehicles for the transport of ten or more persons, motor cars and other motor vehicles principally designed for the transport of persons, motor vehicles for the transport of goods and special purpose motor vehicles of heading 8701 to 8705, n.e.s.",,,,,,
China,27/03/2009, G/TBT/N/CHN/588,"National Standard of the P.R.C, Generic Technical Specification of Solar Photovoltaic( PV) Lighting Installation（10 pages, in Chinese）","This standard specifies the scope, installations and classes, requirements of installations, requirements of parts, test methods and so on for solar photovoltaic ( PV) lighting installation.  ;
This standard applies to solar photovoltaic ( PV) lighting installations which are used for the lighting of roads, publics, gardens, advertisements, marking, decoration and the like. ;
","Solar photovoltaic ( PV) lighting installation. ;
ICS: 29.140 ;
",29.140 - Lamps and related equipment,Protection of human health or safety (TBT),,,26/05/2009,Regular notification,,,,,,,
China,23/03/2009, G/TBT/N/CHN/566/Suppl.1,,,,,,,,,Supplement (TBT),,,,,,,
China,05/03/2009, G/TBT/N/CHN/530/Suppl.1,,,,,,Food standards,,,Supplement (TBT),,,,,,,
China,02/03/2009, G/TBT/N/CHN/565,"National Standard of the P.R.C., Bunk Beds for Domestic Use - Safety Requirements and Tests -Part 1:Safety Requirements（7 pages, in Chinese）","This standard specifies the safety requirements of bunk beds for domestic use.  ;
This standard applies to bunk beds for domestic use and single beds for use at a height of the bed base of 800mm or more above floor level as well, irrespective of the use of the space below, only the sleeping function is considered.  ;
","Bunk beds for domestic use ;
ICS: 97.140                      ;
",97.140 - Furniture,Protection of human health or safety (TBT),,,01/05/2009,Regular notification,,,,,,,
China,02/03/2009, G/TBT/N/CHN/567,"National Standard of the P.R.C., Antibacterial and Cleaning Function for Household and Similar Electrical Appliances Particular Requirements of Material (14 pages, in Chinese)",This standard specifies the test and effective evaluation methods for the antibacterial and antifungal performances of antibacterial materials and components used in household and similar electrical appliances.,"Household and similar electrical appliances  ;
ICS: 03.080.01 ;
",03.080.01 - Services in general,Protection of human health or safety (TBT); Prevention of deceptive practices and consumer protection (TBT),,,01/05/2009,Regular notification,,,,,,,
China,02/03/2009, G/TBT/N/CHN/568,"National Standard of the P.R.C., Antibacterial and Cleaning Function for Household and Similar Electrical Appliances Particular Requirements of Air Cleaner","This standard specifies the sanitary requirments, test methods and marks for antibacterial and cleaning function of air cleaner.","air cleaner ;
ICS: 03.080.01 ;
",03.080.01 - Services in general; 97.030 - Domestic electrical appliances in general,Protection of human health or safety (TBT); Prevention of deceptive practices and consumer protection (TBT),,,01/05/2009,Regular notification,,,,,,,
China,02/03/2009, G/TBT/N/CHN/566,"National Standard of the P.R.C., Plasticized Polyvinyl Chloride(PVC) Tubing for Medical Uses (9 pages, in Chinese)","This standard specifies the requirements, test methods, inspection rules, packaging, labeling, transport and storage of the soft polyvinyl chloride tubing for medical uses.","Plasticized polyvinyl chloride(PVC) tubing for medical uses ;
ICS: 83.140.40, 11.040.30 ;
",11.040.30 - Surgical instruments and materials; 83.140.40 - Hoses,Protection of human health or safety (TBT),,,01/05/2009,Regular notification,,,,,,,
